Division,Court,country,class,product,person,agent,Role,Town-Country,Longitude,Latitude
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Allyn's patent capstan for ships and steamboats.,John W. F. Hobbs,,manu.,"Boston, Massachusetts",-71.0588801,42.3600825
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of a hermaphrodite brig,"George W. Hteb,",,manu.,"New York City, New York",-74.004507,40.739333
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"Safety guard for guns, to prevent accidental discharge.",F. W. Dolbease,,manu.,"Greenport, New York",-72.3592501,41.1034326
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Holmes's patent boom derrick double cylinder capstan.,Winant & Stuart,,manu.,"New York City, New York",-73.982569,40.702836
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"Model of a clipper corvette, with miniature armament.",William Cholius,,des.,"New York City, New York",-74.0059413,40.7127837
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of a full rigged fancy yacht.,Edmund Thomas Darling,,builder,"Port Jefferson, New York",-73.0692732,40.9464875
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"Breech-loading shot-guns, rifles, and pistols.",Perry's Fire-arms Manufac- turing Co.,,,"Newark, New Jersey",-74.1723667,40.735657
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"Guns, rifles and pistols.",John Keideb,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"Cast iron propeller of two blades, on an axle.","Betts, Pusey, Jones & Seal",,manu.,"Wilmington, Delaware",-75.5397878,39.7390721
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"New model of sail-boat, with sails and spars complete.",William Smith,,boatbuilder,"Bergen, New Jersey",-74.07701,40.9262762
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of apparatus for coast soundings.,Thomas Goodwin,,inv. & manu.,"New York City, New York",-73.952734,42.797663
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of a steam-boat wheel.,Daniel Griffin,,des. & manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"Ship ventilators, windlass, and capstans.",Charles Perley,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Patent breech-loading fire-arms.,SHARp's Rifle Manufacturing Co.,,manu.,"Hartford, Connecticut",-72.6850932,41.7637111
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of shot factory ; specimens of shot.,John Simmons,,manu. & prop,"St. Louis, Missouri",-90.1994042,38.6270025
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of a yacht-rigged cutter.,L. Fannin,,des.,"New York City, New York",-74.0059413,40.7127837
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Patent Stanton life-boat.,John W. Bennett,,manu. & prop,"New York City, New York",-74.090839,40.640844
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Revolving gun ; pistol in case.,L. H. Gibes & Co.,,inv. & manu.,"Washington, District of Columbia",-77.0368707,38.9071923
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of curvilinear ocean propeller.,Calvin Fletcher,,pat. & manu.,"Cincinnati, Ohio",-84.5120196,39.1031182
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of steering-wheel for ships.,Nathaniel F. Edson,,prop.,"New Orleans, Louisiana",-90.0715323,29.9510658
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of a clipper ship.,William A Lillee,,shipbuilder,"New York City, New York",-73.978628,40.719942
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of a ship.,Robert Underbill,,shipbuilder,"New York City, New York",-73.898054,40.889709
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Half model of a steamship.,G. H. Geotecloss,,des.,"New York City, New York",-74.004686,40.727955
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Corresponding ship ventilators.,Frederick Emerson,,prop.,"Boston, Massachusetts",-71.0588801,42.3600825
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Copper powder flasks.,John Matthewman,,manu.,"New York City, New York",-73.99398,40.699187
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Various kinds of revolving fire-arms.,Samuel Colt,,manu.,"Hartford, Connecticut",-72.6850932,41.7637111
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Newly invented grapnel.,James Tucker,,inv.,"Washington, District of Columbia",-77.0368707,38.9071923
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Percussion caps.,Dr. Joseph Goldmark,,manu.,"New York City, New York",-74.012837,40.706816
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Patent ship's blocks.,John P. Bonnell,,manu.,"New York City, New York",-73.99258,40.709776
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Two clipper ship models.,Annanias Dekke,,des. & maker,"Boston, Massachusetts",-71.0588801,42.3600825
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Model of a new propeller.,William B. Porter,,inv. & prop,"Bloomingdale, Ohio",-80.8181404,40.3428455
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Two models of clipper ships.,Jens Gran,,des. & maker,"Boston, Massachusetts",-71.0588801,42.3600825
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"Model of ship, in glass case.",Reid & Nash,,shipbuilder,"New York City, New York",-74.0059413,40.7127837
A,"1, 2",USA,8. Naval Architecture and Military Engineering,A variety of fire-arms.,Allen & Thurbee,,manu.,"Worcester, Massachusetts",-71.8022934,42.2625932
A,"1, 2",USA,8. Naval Architecture and Military Engineering,New revolving guns and pistols.,P. W. Poetee,,inv.,"Memphis, Tennessee",-90.0489801,35.1495343
A,"1, 2",USA,8. Naval Architecture and Military Engineering,A variety of powder flasks.,William Foster,,manu.,"Newark, New Jersey",-74.1723667,40.735657
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Pistols.,Quimpiac Malleable Iron Co.,,imp.,"New Haven, Connecticut",-72.9278835,41.308274
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Camp chest,George W. Tuttle,,manu.,"New York City, New York",-74.004339,40.71676
A,"1, 2",USA,8. Naval Architecture and Military Engineering,Rifle in case.,S. B. & G. Amort,,manu.,"Fond du Lac, Wisconsin",-88.4470508,43.7730448
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"Model, in wood and brass, of a steering apparatus for ships",Benjamin Shepi-ard,,inv. & prop.,"New York City, NY",-73.986581,40.730599
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"55 Brass wheel blocks, shears, eye bolts, butts, ship hinges and hasps, and all manner of brass hardware for naval purposes",CB Timpson,,manu.,"New York City, NY",-73.986581,40.730599
A,"1, 2",USA,8. Naval Architecture and Military Engineering,56 Camp chest---George W,George W. Tuttle,,manu.,"New York City, NY",-73.986581,40.730599
A,"1, 2",USA,8. Naval Architecture and Military Engineering,57 Two models of clipper ships,"Jens Gran, des",,des & mak.,"Boston, Massachusetts",-71.059568,42.360482
A,"1, 2",USA,8. Naval Architecture and Military Engineering,58 Allyn's patent capstan for ships and steamboats,John W Hobbs,,manu.,"Boston, Massachusetts",-71.059568,42.360482
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"59 Specimen of new method of caulking vessels with India rubber, or other elastic substances",Benjamin F Cooke,,,"Boston, Massachusetts",-71.059568,42.360482
A,"1, 2",USA,8. Naval Architecture and Military Engineering,60 Model of shot factory ; specimens of shot,John Simmons,,prop. & manu.,"St. Louis, Missouri",-90.197889,38.627273
A,"1, 2",USA,8. Naval Architecture and Military Engineering,"61 New and patent revolving fire-arms, constructed with rotating breech and six chambers, discharged through a single barrel",North & Savage,,pat. & manu.,"Middletown, CT",-72.65156,41.549566
A,"1, 2",USA,8. Naval Architecture and Military Engineering,62 Two clipper ship models,Annanias Dekke,,des & mak.,"Boston, Massachusetts",-71.059568,42.360482
A,"1, 2",USA,8. Naval Architecture and Military Engineering,63 Complete military equipment for brigadier and colonel in the U,"Thornton, Grimsby & Co",,manu.,"St. Louis, Missouri",-90.197889,38.627273
A,4,USA,11. Manufacturers of Cotton,Cotton fabrics of various kinds.,"Goddard, Brothers", Lonsdale and Hope Cos.,manu.,"Providence, Rhode Island",-71.4128343,41.8239891
A,4,USA,11. Manufacturers of Cotton,"Specimens of cotton duck, made by Atlantic Duck Co.",Benjamin Flanders & Co.,Benjamin Flanders & Co.,agent,"New York City, New York",-74.004344,40.705597
A,4,USA,11. Manufacturers of Cotton,"Fine lawns, cambrics and printed muslins, manufactured at the Hadley Falls Mills.",Hadley Falls Mills,Charles H. Mills & Co.,manu.,"Boston, Massachusetts",-71.0588801,42.3600825
A,4,USA,11. Manufacturers of Cotton,Samples of drills and sheetings.,Asa Fitch,Fitoh & Co.,manu.,"Fitchville, Connecticut",-72.1539671,41.5648205
A,4,USA,11. Manufacturers of Cotton,Specimen of brown and bleached cotton fabrics.,Francis Skinner & Co.,Francis Skinner & Co.,agent,"New York City, New York",-73.914624,40.757112
A,4,USA,11. Manufacturers of Cotton,Specimens of wide shirtings and sheetings.,Atlantic Cotton Mills,"H. K. Oliver, agent",manu.,"Lawrence, Massachusetts",-71.1631137,42.7070354
A,4,USA,11. Manufacturers of Cotton,Specimens of fine sheetings and shirtings.,M. A. Herrick,Jackson Co.,manu.,"Nashville, New Hampshire",-71.467829,42.7662218
A,4,USA,11. Manufacturers of Cotton,Cotton carpet warps ; yarns ; osnaburgs ; shirtings and sheetings ; furniture checks ; seamless bags ; battings.,M. Canfield & Co.,M. Canfield & Co.,agent,"New York City, New York",-73.926574,40.697456
A,4,USA,11. Manufacturers of Cotton,Cotton bed tickings.,Manderson & Lammott,Manderson & Lammott,agent,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,4,USA,11. Manufacturers of Cotton,Specimens of printed calicoes ; plain cotton fabrics.,Cocheco <Sr Salmon Falls Manufacturing Cos.,Mason & Lawrence,agent,"Boston, Massachusetts",-71.0588801,42.3600825
A,4,USA,11. Manufacturers of Cotton,"Bleached and unbleached sheetings and shirtings, drillings, tickings, diapers,",Nesmeth & Co.,Nesmith & Co.,agent,"New York City, New York",-73.898054,40.889709
A,4,USA,11. Manufacturers of Cotton,Various specimens of fine cotton fabrics.,Wamsutta Mills,Thos. Bennett Jr. agent,manu.,"New Bedford, Massachusetts",-70.934205,41.6362152
A,4,USA,11. Manufacturers of Cotton,Specimens of cotton seine twine and cotton rope.,William H. Johnson,William H. Johnson,agent,"Baltimore, Maryland",-76.6121893,39.2903848
A,4,USA,11. Manufacturers of Cotton,Specimens of cotton wick ; counter-twist wick for patent machine moulds  _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___ _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ____ _    ¥Ë_    ¥Ë_ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___ _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___ _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___ chandlers' wick.,A Wortendyke,,manu. & prop,"Godwinville, New Jersey",-74.1165,40.9793
A,4,USA,11. Manufacturers of Cotton,"Speeimens of cotton rope and twines ; patent duck wadding ; battings, water-proof beds, or life-preservers.",Silas C. Salisbury,,manu.,"Yonkers, New York",-73.8987469,40.9312099
A,4,USA,11. Manufacturers of Cotton,"Cotton prints : cambrics; print cloths; brown sheetings ; drillings, tickings and shirtings ; canton flannels ; counterpanes and all-cotton blankets.",Conestoga Steam Mills,,manu.,"Lancaster, Pennsylvania",-76.3055144,40.0378755
A,4,USA,11. Manufacturers of Cotton,Cotton seine twine; cotton lines for drift and other nets.,Demarest & Joralemon,,prop.,"New York City, New York",-74.010153,40.712064
A,4,USA,11. Manufacturers of Cotton,Specimens of book and formation muslins ; narrow crown buckram ; mos- quito nettings ; cotton twist and filling.,"Peter J. Bertine (ex'r estate of D. McEeving, dec'd)",,,"New York City, New York",-74.011215,40.724372
A,4,USA,11. Manufacturers of Cotton,Specimens of ginghams,"Glasgow Mills (G. M. Atwater, treas.)",,manu.,"Springfield, Massachusetts",-72.589811,42.1014831
A,4,USA,11. Manufacturers of Cotton,"Bleached and brown cotton goods, from the Beading (Pennsylvania) ManU' facturing Company.",J. G. Dudley <fc Co.,,manu. & agent,"New York City, New York",-74.0059413,40.7127837
A,4,USA,11. Manufacturers of Cotton,"Various samples of brown, bleached and colored cotton fabrics.",Joseph S. Gladding,,manu. & prop,"Moosup, Connecticut",-71.8809054,41.7128767
A,4,USA,11. Manufacturers of Cotton,"Specimen of patent cordage, and rope for rigging, towlines, Ac.",American Cordage Co.,,manu.,"New York City, New York",-73.989938,40.711211
A,4,USA,11. Manufacturers of Cotton,Cotton sheetings and shirtings.,Masonville Manufacturing Co.,,,"Providence, Rhode Island",-71.4128343,41.8239891
A,4,USA,11. Manufacturers of Cotton,Fine Marseilles quilts and other cotton goods.,CnARLES G. Hook,,prop.,"New York City, New York",-73.991753,40.726826
A,4,USA,11. Manufacturers of Cotton,Specimens of three-cord spool cotton.,Nathan Buffinton,,manu. & prop,"Fall River, Massachusetts",-71.1550451,41.7014912
A,4,USA,11. Manufacturers of Cotton,Brown and bleached shirtings.,Wllliamsville Manufacturing Co.,,,"Providence, Rhode Island",-71.4128343,41.8239891
A,4,USA,11. Manufacturers of Cotton,Samples of cotton Seine twine.,Brownbll & Co.,,manu. & prop,"Moodus, Connecticut",-72.4500867,41.5028768
A,4,USA,11. Manufacturers of Cotton,Cotton quilts and table covers.,Malcolm <fc Hesketh,,manu.,"Paterson, New Jersey",-74.171811,40.9167654
A,3,USA,13. Manufactures of Silk,"Specimens of silk in all stages of its manufacture ; sewing silks in gum, and dyed in hanks ; sewing silks in skeins and spools ; twist and embroidery silks ; drapery tassels and all upholstery trimmings ; fine trimmings for ladies' dresses, of all descriptions.",Charles W. Crossley,,manu.,"New York City, New York",-73.943502,40.701908
A,3,USA,13. Manufactures of Silk,"Specimens of silk twist in balls, spools and sticks ; braided silk cord ; bind- ings, trimmings, gimps, fringes and tassels.",Gurney & Co.,,manu.,"New York City, New York",-74.009628,40.708925
A,3,USA,13. Manufactures of Silk,Upholstery silk damasks ; rich woven brocades of modern styles and of the middle ages; church ornates.,Jacob Neustosdter,,manu.,"New York City, New York",-74.010213,40.710845
A,3,USA,13. Manufactures of Silk,"Specimens of silk button cloth ; silk buttons of various styles ; silk bindings, loops and tassels.",H. H. Schwietering,,manu.,"New York City, New York",-74.14282,40.637939
A,3,USA,13. Manufactures of Silk,"Silk brocatelles for drapery ; linings for carriages, <fee.","Eagle Manu Co.---(J. P. Humaston, Sup.)",,,"Seymour, Connecticut",-73.0747534,41.397146
A,3,USA,13. Manufactures of Silk,Specimens of silks dyed and watered by the exhibitor.,Theodore Eulek,,silk dyer,"New York City, New York",-73.996771,40.741268
A,3,USA,13. Manufactures of Silk,Various specimens of sewing silks.,0. S. Chaffe,,manu.,"Mansfield Centre, Connecticut",-72.1981334,41.7653764
A,3,USA,13. Manufactures of Silk,Various samples of manufactured silk.,John Ryle,,manu.,"Paterson, New Jersey",-74.171811,40.9167654
A,4,USA,14. Manufactures of Flax and Hemp,"Specimens of white or untarred rope, manufactured from all varieties of hemp, Manilla and Sisall; tarred rope from domestic and foreign hemps; cords and lines of various kinds.",John Thuksby & Son,,manu.,"New York City, New York",-73.983681,40.70246
A,4,USA,14. Manufactures of Flax and Hemp,Specimens of American shoe threads and flax twines; English shoe threads and flax yarns.,James Frenche,,manu. & imp,"New York City, New York",-74.0059413,40.7127837
A,4,USA,14. Manufactures of Flax and Hemp,Specimens of articles manufactured of unrolled flax and hemp.,American Linen Co.,,manu.,"Marcellus, New York",-76.3404867,42.9828438
A,4,USA,14. Manufactures of Flax and Hemp,Specimens of improved sail-cloth.,Taylor <fc Co.,,manu. & prop,"New York City, New York",-74.029105,41.512466
A,4,USA,14. Manufactures of Flax and Hemp,Damask and embroidered linen goods.,Charles G. Hook,,prop.,"New York City, New York",-74.0059413,40.7127837
A,4,USA,14. Manufactures of Flax and Hemp,Samples of flax sail-canvas.,Cameron A. Butt,,manu.,"New York City, New York",-74.075595,40.62541
A,4,USA,14. Manufactures of Flax and Hemp,Specimens of Missouri hemp rope.,"Yeattman, Pittman & Co.",,manu.,"St. Louis, Missouri",-90.1994042,38.6270025
A,3,USA,15. Mixed Fabrics,Rich printed woollen shawls.,Hotchkissville Manufacturing Co.,Baboocs Mtlnor & Co.,agent,"New York City, New York",-74.013269,40.706545
A,3,USA,15. Mixed Fabrics,Specimens of silk and wool white flannels.,John Slade <Sc Co.,John Slade & Co.,agent,"New York City, New York",-74.075689,40.625726
A,3,USA,15. Mixed Fabrics,Flannels of silk warp with wool filling ; silk warp gauze flannels.,George H. Gilbert,,manu.,"Ware, Massachusetts",-72.2398566,42.2598457
A,3,USA,15. Mixed Fabrics,Specimens of shawls.,Samoel Lawrence,,manu.,"Boston, Massachusetts",-71.0588801,42.3600825
A,"18, 19",USA,21. Cutlery and Edge Tools,"14 Assortment of pocket cutlery, from the New England Cutlery Company, S",B Paemelee,B Paemelee,agent,"Wallingford, CT",-100.445882,39.78373
A,"18, 19",USA,21. Cutlery and Edge Tools,13 Specimens of fine table cutlery ; butcher's and shoemaker's knives,Bagi* Works,"Bagi* Works (John Hinsdale, agent), manu",manu.,"West Winsted, CT",-73.986581,40.730599
A,"18, 19",USA,21. Cutlery and Edge Tools,Specimens of chisels.,Boyd <fe Keen,"Boyd <fe Keen, agents for",manu.,"New York City, New York",-74.007109,40.707651
A,"18, 19",USA,21. Cutlery and Edge Tools,21 Specimens of chisels,"Boyd <fe Keen, Agents for manu","Boyd <fe Keen, Agents for manu",agent,"New York City, NY",-73.060108,41.921207
A,"18, 19",USA,21. Cutlery and Edge Tools,Specimens of fine cutlery.,C. H. Sheehan,C. H. Sheehan,agent,"New York City, New York",-74.005417,40.705736
A,"18, 19",USA,21. Cutlery and Edge Tools,Specimens of fine table cutlery ; butcher's and sh.oemaker's knives.,Bagi* Works,John Hinsale,manu.,"New York City, New York",-74.006424,40.707653
A,"18, 19",USA,21. Cutlery and Edge Tools,Variety of axes for wood-choppers and carpenters; California pickaxes; hatchets and other edge-tools.,Josiah S. Leverett,"Josiah S. Leverett, agent",manu.,"New York City, New York",-74.005143,40.708169
A,"18, 19",USA,21. Cutlery and Edge Tools,18 Variety of axes for wood-choppers and carpenters; California pickaxes; hatchets and other edge-tools,"Leverett, agent for manu","Leverett, agent for manu",agent,"New York City, NY",-73.986581,40.730599
A,"18, 19",USA,21. Cutlery and Edge Tools,Axes and other edge tools.,D. Simmons & Co.,"Office, 7 Gold Street",manu.,"Albany, New York",-73.7562317,42.6525793
A,"18, 19",USA,21. Cutlery and Edge Tools,"Assortment of pocket cutlery, from the New England Cutlery Company, S. B. Paemelee, agent, Wallingford, Connecticut.",New England Cutlery Company,S. B. Paemelee,agent,"Wallingford, Connecticut",-72.8230736,41.4570108
A,"18, 19",USA,21. Cutlery and Edge Tools,"Specimens of chisels from the manufactory of John Sharpe, New- York City",Thomas Douglass,Thomas Douglass,agent,"New York City, New York",-74.006111,40.707437
A,"18, 19",USA,21. Cutlery and Edge Tools,"Braces, bitts, and carpenter's tools of various kinds.",Thomas E Wells,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"18, 19",USA,21. Cutlery and Edge Tools,"Planes of various kinds for carpenters and cabinet-makers; panel-plough,  _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___ _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ____ _    ¥Ë_    ¥Ë_ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___ _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___ _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___with handle and patent screw-arms ; patent screw-arm philister.",Emanuel W. Carpenter,,manu.,"Lancaster, Pennsylvania",-76.3055144,40.0378755
A,"18, 19",USA,21. Cutlery and Edge Tools,"Pocket knives, with steel, horn, India-rubber, ivory, pearl, silver and shell handles; pruning and budding knives ; camp knives for miners ; scimitar, daggei and cleaver blades ; silver fruit knives ; toilet knives.",Union Knife Co.,,manu.,"Naugatuck, Connecticut",-73.0506972,41.485921
A,"18, 19",USA,21. Cutlery and Edge Tools,"Specimens of fine table cutlery, with handles ornamented with medallions ol distinguished characters, and in other original styles.",John Garside,,manu.,"Washington City, New Jersey",-74.9793378,40.7584326
A,"18, 19",USA,21. Cutlery and Edge Tools,"Braces, bitts, and carpenter's tools of various kinds.",Thomas E Wells,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"18, 19",USA,21. Cutlery and Edge Tools,"Tailor's patent shears ; bank shears ; scissors of various descriptions ; a new style of razor, patented.",Roohus Heinisch,,inv. & manu.,"Newark, New Jersey",-74.1723667,40.735657
A,"18, 19",USA,21. Cutlery and Edge Tools,Augers and auger-bitts of all varieties.,Seymour Manufacturing Co.,,manu.,"Seymour, Connecticut",-73.0747534,41.397146
A,"18, 19",USA,21. Cutlery and Edge Tools,"Table cutlery, dirks, bowie-knives, hunting-knives, pen and pocket knives, scissors, &c.",Amedee Alviset,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,Tailor's patent improved shears ; bank shears ; ladies' scissors and points.,Leonard <fe Wendt,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,"Concave and hollow razors, ground thin for barber's and private use.","Carl Klauberg, Jr.",,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,Variety of tools for cabinet and L pianoforte makers and sculptors.,George H. Cole,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,Axes and other edge tools.,The Collins Co.,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,"Axes, adzes, chisels, gouges, planes, mouldings, and various other edge-tools.",D. R. Barton,,manu.,"Rochester, New York",-77.6109219,43.16103
A,"18, 19",USA,21. Cutlery and Edge Tools,Walcott's patent graduating button-hole cutters.,"Walcott, Brothers",,manu.,"Boston, Massachusetts",-71.0588801,42.3600825
A,"18, 19",USA,21. Cutlery and Edge Tools,"Miniature sets of table cutlery, richly mounted ; miniature pen-knives.",Samuel J. Pooley,,maker,"Warren, New Jersey",-74.5004796,40.6342489
A,"18, 19",USA,21. Cutlery and Edge Tools,"Various kinds of files ; long and hand-saws, Ac.",Henry J. Ibbotson A Co.,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,Specimens of fine table and useful cutlery.,J. ife C. Berkian,,manu. & agent,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,Variety of shoemaker's tools.,Adolph Bittersdorf,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"18, 19",USA,21. Cutlery and Edge Tools,"Variety of axes, broad axes, hatchets and adzes.",Caleb W. Hannum,,manu.,"Chester Village, Massachusetts",-72.978712,42.2792551
A,"18, 19",USA,21. Cutlery and Edge Tools,"Axes, pickaxes, and a variety of edge tools.",Claxton <fe Wetmore,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,"Planes, ploughs, and moulding tools for carpenter's use.",Winsted Plane Co.,,manu.,"Winsted, Connecticut",-73.0601078,41.9212066
A,"18, 19",USA,21. Cutlery and Edge Tools,"Patent circular hand-saw, without tog and belt gearing.",Henry Ives,,manu.,"Mendon, Connecticut",,
A,"18, 19",USA,21. Cutlery and Edge Tools,"Patent circular saw, operated by a small steam engine.",Joseph Harris,,manu.,"Boston, Massachusetts",-71.0588801,42.3600825
A,"18, 19",USA,21. Cutlery and Edge Tools,Specimens of screw augers and auger bitts.,Charles A. Converse & Co.,,manu.,"Nowich, Connecticut",-72.0759105,41.5242649
A,"18, 19",USA,21. Cutlery and Edge Tools,Specimens of double refined cast-steel tools.,John Sharpe,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,Shears and scissors of various descriptions.,John Rowe,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,Various kinds of machinist's tools.,John A. Parks,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,"Variety of screw augers, auger bitts, &a.",Willis Churchill,,manu.,"Hamden, Connecticut",-72.9026064,41.3838782
A,"18, 19",USA,21. Cutlery and Edge Tools,Samples of files and rasps.,Louis Hock,,manu.,"Baltimore, Maryland",-76.6121893,39.2903848
A,"18, 19",USA,21. Cutlery and Edge Tools,Steel augers and single-twist bitts.,Joshua L'Hommedieu,,manu.,"Chester, Connecticut",-72.4824991,41.4022081
A,"18, 19",USA,21. Cutlery and Edge Tools,Saws of various descriptions.,John Byron,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,Cooper's crose.,Daniel Houston,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"18, 19",USA,21. Cutlery and Edge Tools,"11 Braces, bitts, and carpenter's tools of various kinds","Thomas E Wells, manu",,manu.,"Philadelphia, PA",-76.099925,43.876174
A,"18, 19",USA,21. Cutlery and Edge Tools,"12 Various kinds of files ; long and hand-saws, Ac",Ibbotson A Co,,manu.,"New York City, NY",-75.16359,39.952399
A,"18, 19",USA,21. Cutlery and Edge Tools,"15 Tailor's patent shears ; bank shears ; scissors of various descriptions ; a new style of razor, patented","Roohus Heinisch, inv",,inv. & manu.,"Newark, NJ",-72.823155,41.457042
A,"18, 19",USA,21. Cutlery and Edge Tools,16 Shears and scissors of various descriptions,"John Rowe, manu",,manu.,"New York City, NY",-74.172367,40.735657
A,"18, 19",USA,21. Cutlery and Edge Tools,"17 Concave and hollow razors, ground thin for barber's and private use","Carl Klauberg, Jr",,manu.,"New York City, NY",-73.986581,40.730599
A,"18, 19",USA,21. Cutlery and Edge Tools,19 Various kinds of machinist's tools,John A,,manu.,"New York City, NY",-73.986581,40.730599
A,"18, 19",USA,21. Cutlery and Edge Tools,"20 Planes, ploughs, and moulding tools for carpenter's use",Winsted Plane Co,,manu.,"Winsted, CT",-73.986581,40.730599
A,"18, 19",USA,21. Cutlery and Edge Tools,22 Augers and auger-bitts of all varieties,Seymour Manufacturing Co,,,"Seymour, CT",-73.986581,40.730599
A,"15, 20, 21, 25, 28",USA,"22. Iron, Brass, Pewter, and General Hardware",138 Lightning conductor,JF Getchei,"---Charles Hammond, 29 Commerce street, Philadelphia, Pennsylvania",pat. & manu.,"Elkton, MD",-73.986581,40.730599
A,"15, 20, 21, 25, 28",USA,"22. Iron, Brass, Pewter, and General Hardware",130 Various articles of hardware,Saw-set,"Abel Stillman, manu",manu.,"Portland, NY",-73.143958,40.829573
A,"15, 20, 21, 25, 28",USA,"22. Iron, Brass, Pewter, and General Hardware",32 Specimens of metal and fancy buttons,The Steele & Johnson,"Agent, Henry W",manu.,"Waterbury, CT",-73.949582,40.650104
A,"15, 20, 21, 25, 28",USA,"22. Iron, Brass, Pewter, and General Hardware",104 Self-heating smoothing-iron,Benjamin G Herbst,Benjamin G Herbst,agent,"New York City, NY",-70.25486,43.661028
